data,PmGdaLeczkow,PmGdaPowWars,PmGdaWyzwole,PmGdyPorebsk,PmGdySzafran,PmSopBiPlowoc
11/10/21 6:00,21.6525,23.4693,20.06,19.254,20.3339,20.7309
11/10/21 7:00,25.5349,26.3726,33.2467,30.2528,21.1142,22.03
11/10/21 8:00,28.3028,31.0836,32.4016,29.5345,22.9791,31.5387
11/10/21 9:00,30.5672,32.9034,33.3037,30.1821,25.4961,34.0612
11/10/21 10:00,28.6897,31.1161,29.58,30.5139,25.7794,27.876
11/10/21 11:00,27.5644,32.1433,26.1913,26.8876,26.1025,28.4327
11/10/21 12:00,29.0842,31.449,27.2016,24.8795,28.8296,24.0377
11/10/21 13:00,29.1817,33.0801,30.379,27.4917,32.9455,19.9628
11/10/21 14:00,28.9982,34.2601,44.2195,26.822,67.1449,20.3951
11/10/21 15:00,36.1479,36.2184,37.0724,23.6931,73.6758,20.796
11/10/21 16:00,33.8545,34.0937,27.8242,25.3047,37.3669,24.5404
11/10/21 17:00,39.3253,41.3128,29.9556,27.901,34.6087,30.4553
11/10/21 18:00,46.0967,49.9995,35.3237,39.2921,38.9645,32.9478
11/10/21 19:00,40.3896,45.0995,36.2559,39.9994,46.3218,34.3415
11/10/21 20:00,48.1342,58.7764,53.0969,33.1854,36.1718,31.7125
11/10/21 21:00,54.1911,55.226,57.732,28.8457,30.9623,34.5927
11/10/21 22:00,42.2224,65.3193,80.289,30.0463,30.2661,31.8139
11/10/21 23:00,37.5149,59.5102,44.577,31.6882,34.5966,29.5554
11/11/21 0:00,27.2038,47.6887,72.0106,32.2936,27.1982,26.1564
11/11/21 1:00,26.9141,41.0301,76.7921,23.7322,25.5321,25.5325
11/11/21 2:00,25.8154,30.0184,38.2471,23.2446,23.6693,25.0565
11/11/21 3:00,25.2859,26.9249,21.4541,23.4026,23.1184,24.3543
11/11/21 4:00,25.2126,27.7814,23.5237,21.6495,23.6222,23.3925
11/11/21 5:00,26.0318,29.9344,55.3513,21.2382,23.846,23.5507
11/11/21 6:00,28.298,31.3689,39.798,22.0249,27.0818,24.6286
11/11/21 7:00,31.0724,31.1832,52.104,23.2543,26.2566,24.1114
11/11/21 8:00,30.86,27.9855,44.2959,23.2843,24.7282,25.204
